"","dta_inc_pedido","pk_pedido","fk_produto_unificado","qtd_itens","total","desc_cidade","uf_estado"
"1","2021-03-22",8825479,435719,20,15.4,"SAO PAULO","SP"
"2","2021-03-24",8834353,435713,5,4.4,"CURITIBA","PR"
"3","2021-03-25",8844526,435716,11,9.02,"CURITIBA","PR"
"4","2021-03-27",8851756,435695,5,8.8,"MONTE VERDE","MG"
"5","2021-03-27",8851756,435695,5,8.8,"MONTE VERDE","MG"
"6","2021-03-27",8851756,435713,5,4.4,"MONTE VERDE","MG"
"7","2021-03-27",8851756,435713,5,4.4,"MONTE VERDE","MG"
"8","2021-03-28",8852749,435713,5,4.4,"MONTE VERDE","MG"
"9","2021-03-28",8852749,435713,5,4.4,"MONTE VERDE","MG"
"10","2021-03-28",8852749,435713,5,4.4,"MONTE VERDE","MG"
"11","2021-03-29",8857033,435716,10,8.2,"SAO JOSE DOS PINHAIS","PR"
"12","2021-03-30",8862097,435722,30,21.3,"CURITIBA","PR"
"13","2021-04-05",8880031,435713,8,7.04,"CANOAS","RS"
"14","2021-04-05",8884588,435719,20,15.4,"LUCAS DO RIO VERDE","MT"
"15","2021-04-06",8889445,435713,9,7.92,"SAO JOSE DOS PINHAIS","PR"
"16","2021-04-08",8899258,435713,5,4.4,"COLOMBO","PR"
"17","2021-04-14",8936263,435713,5,4.4,"BELEM","PA"
"18","2021-04-22",8972932,435719,20,15.4,"PORTO BELO","SC"
"19","2021-04-22",8973307,435716,14,10.92,"COLOMBO","PR"
"20","2021-04-27",8997922,435713,5,4.4,"ARACATUBA","SP"
"21","2021-04-28",9007123,435695,6,10.56,"SAO JOSE DOS PINHAIS","PR"
"22","2021-04-28",9007414,435728,169,92.95,"NOVA IGUACU","RJ"
"23","2021-04-30",9019408,435716,10,8.2,"SAO PAULO","SP"
"24","2021-05-03",9033361,435719,24,18.48,"BARRA VELHA","SC"
"25","2021-05-04",9040069,435695,8,14.08,"SAO JOSE DOS PINHAIS","PR"
"26","2021-05-05",9045592,435719,18,13.86,"CURITIBA","PR"
"27","2021-05-05",9050860,435695,5,8.8,"CAMPINAS","SP"
"28","2021-05-06",9054130,435725,100,66,"JUNDIAI","SP"
"29","2021-05-06",9055216,435719,23,17.71,"LONDRINA","PR"
"30","2021-05-12",9082621,435695,5,8.8,"SAO PAULO","SP"
"31","2021-05-12",9082891,435719,20,15.4,"PORTO ALEGRE","RS"
"32","2021-05-12",9088087,435722,35,24.85,"BAURU","SP"
"33","2021-05-12",9089107,435713,6,5.28,"SOROCABA","SP"
"34","2021-05-13",9093520,435728,199,103.48,"CAXIAS DO SUL","RS"
"35","2021-05-13",9093520,435725,100,63,"CAXIAS DO SUL","RS"
"36","2021-05-13",9093559,435722,46,32.66,"ARACATUBA","SP"
"37","2021-05-17",9112273,435719,23,16.79,"CIANORTE","PR"
"38","2021-05-18",9118462,435698,11,18.15,"CAMPOS DOS GOYTACAZES","RJ"
"39","2021-05-18",9120370,435713,5,4.4,"SAO PAULO","SP"
"40","2021-05-18",9121657,435722,56,39.76,"BAURU","SP"
"41","2021-05-19",9130213,435722,30,12.9,"CAMPINAS","SP"
"42","2021-05-19",9130213,435722,30,12.9,"CAMPINAS","SP"
"43","2021-05-19",9130213,435722,33,14.19,"CAMPINAS","SP"
