"","loja","pk_pedido","pk_pedido_item","produto","fk_categoria_unificado","fk_usuario","fk_perfil_usuario","desc_perfil_usuario","dta_inc_pedido","fk_produto_unificado","qtd_itens","total","desc_cidade","desc_estado","uf_estado"
"1","Atual Card",8825479,13602976,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,236798,6,"Cliente","2021-03-22",435719,20,15.4,"SAO PAULO","São Paulo","SP"
"2","Atual Card",8834353,13616395,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,74965,25,"Agente Oficial","2021-03-24",435713,5,4.4,"CURITIBA","Paraná","PR"
"3","Atual Card",8844526,13631455,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,324421,6,"Cliente","2021-03-25",435716,11,9.02,"CURITIBA","Paraná","PR"
"4","Atual Card",8851756,13642462,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,11959,6,"Cliente","2021-03-27",435695,5,8.8,"MONTE VERDE","Minas Gerais","MG"
"5","Atual Card",8851756,13642465,"Fotos Couchê 250g Verniz Total Frente 15x21cm | 15x21 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29099,11959,6,"Cliente","2021-03-27",435695,5,8.8,"MONTE VERDE","Minas Gerais","MG"
"6","Atual Card",8851756,13642468,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,11959,6,"Cliente","2021-03-27",435713,5,4.4,"MONTE VERDE","Minas Gerais","MG"
"7","Atual Card",8851756,13642471,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,11959,6,"Cliente","2021-03-27",435713,5,4.4,"MONTE VERDE","Minas Gerais","MG"
"8","Atual Card",8852749,13644076,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,11959,6,"Cliente","2021-03-28",435713,5,4.4,"MONTE VERDE","Minas Gerais","MG"
"9","Atual Card",8852749,13644079,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,11959,6,"Cliente","2021-03-28",435713,5,4.4,"MONTE VERDE","Minas Gerais","MG"
"10","Atual Card",8852749,13644082,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,11959,6,"Cliente","2021-03-28",435713,5,4.4,"MONTE VERDE","Minas Gerais","MG"
"11","Atual Card",8857033,13650004,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,360736,31,"CRM","2021-03-29",435716,10,8.2,"SAO JOSE DOS PINHAIS","Paraná","PR"
"12","Atual Card",8862097,13657654,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,74965,25,"Agente Oficial","2021-03-30",435722,30,21.3,"CURITIBA","Paraná","PR"
"13","Atual Card",8880031,13684312,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,143280,6,"Cliente","2021-04-05",435713,8,7.04,"CANOAS","Rio Grande do Sul","RS"
"14","Atual Card",8884588,13691269,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,480784,6,"Cliente","2021-04-05",435719,20,15.4,"LUCAS DO RIO VERDE","Mato Grosso","MT"
"15","Atual Card",8889445,13698451,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,266656,51,"Contestação","2021-04-06",435713,9,7.92,"SAO JOSE DOS PINHAIS","Paraná","PR"
"16","Atual Card",8899258,13713088,"Fotos Couchê 250g Verniz Total Frente 10x15cm | 14,9x9,94 cm - 4x0 - Couchê 250g - UV Total Frente - 1un",29102,455884,6,"Cliente","2021-04-08",435713,5,4.4,"COLOMBO","Paraná","PR"
